Subject,MORT13
Task,SetShiftPR
Chamber,1
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p44on_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShiftOn.py

Trial,Time,Type,Code,State,Metadata
1,2.7700327336788177e-05,StateEnterEvent,0,INITIATION,"{}"
2,0.6212074998766184,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
3,0.6212232001125813,StateExitEvent,0,INITIATION,"{'light_location': 0}"
4,0.6212477004155517,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
5,0.706352099776268,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
6,1.0061108004301786,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
7,1.0061160000041127,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '-300uA', '0uA'], ['50', '300uA', '0uA']]}"
8,1.2681379998102784,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
9,1.2681455006822944,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
10,1.2681865999475121,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
11,1.7139514004811645,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': False}"
12,2.0140158999711275,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
13,2.014022500254214,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5346mV', '-294uA', '0mV', '0uA'], ['3512mV', '292uA', '0mV', '0uA']]}"
14,3.0212190002202988,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
15,3.021228199824691,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5250mV', '-294uA', '0mV', '0uA'], ['3424mV', '292uA', '0mV', '0uA']]}"
16,4.029189600609243,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
17,4.029197600670159,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5220mV', '-294uA', '0mV', '0uA'], ['3412mV', '292uA', '0mV', '0uA']]}"
18,5.035978400148451,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
19,5.0359848998487,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5194mV', '-294uA', '0mV', '0uA'], ['3378mV', '294uA', '0mV', '0uA']]}"
20,6.040891299955547,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
21,6.040898200124502,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5160mV', '-294uA', '0mV', '0uA'], ['3358mV', '292uA', '0mV', '0uA']]}"
22,7.05213959980756,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
23,7.052148500457406,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5140mV', '-294uA', '0mV', '0uA'], ['3336mV', '292uA', '0mV', '0uA']]}"
24,8.059050700627267,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
25,8.059057500213385,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5128mV', '-294uA', '0mV', '0uA'], ['3326mV', '292uA', '0mV', '0uA']]}"
26,8.280502500012517,TimeoutEvent,0,iti_timeout,"{}"
27,8.280537600629032,StateExitEvent,2,INTER_TRIAL_INTERVAL,"{}"
28,8.280546399764717,StateEnterEvent,0,INITIATION,"{}"
29,9.067163900472224,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
30,9.067172899842262,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5118mV', '-294uA', '0mV', '0uA'], ['3318mV', '292uA', '0mV', '0uA']]}"
31,9.540071000345051,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
32,9.540079399943352,StateExitEvent,0,INITIATION,"{'light_location': 0}"
33,9.54010109975934,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
34,9.710714700631797,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
35,10.075140099972486,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
36,10.075148900039494,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5108mV', '-294uA', '0mV', '0uA'], ['3304mV', '292uA', '0mV', '0uA']]}"
37,10.142664200626314,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': True}"
38,10.1426713000983,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
39,10.142695399932563,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'correct'}"
40,10.541654800064862,ComponentChangedEvent,2,nose_pokes-0-2,"{'value': False}"
41,11.082010599784553,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
42,11.082019600085914,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5136mV', '-294uA', '0mV', '0uA'], ['3400mV', '294uA', '0mV', '0uA']]}"
43,12.090119800530374,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
44,12.09012920036912,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5066mV', '-294uA', '0mV', '0uA'], ['3266mV', '292uA', '0mV', '0uA']]}"
45,13.095586700364947,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
46,13.0955965006724,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5088mV', '-294uA', '0mV', '0uA'], ['3274mV', '294uA', '0mV', '0uA']]}"
47,14.105069399811327,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
48,14.105077899992466,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5048mV', '-294uA', '0mV', '0uA'], ['3246mV', '292uA', '0mV', '0uA']]}"
49,15.110848099924624,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
50,15.110853999853134,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-5058mV', '-294uA', '0mV', '0uA'], ['3240mV', '292uA', '0mV', '0uA']]}"
51,16.121146799996495,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
