Subject,MORT16
Task,SetShiftPR
Chamber,1
Protocol,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/Protocols/p44on_all.py
AddressFile,C:/Users/Optimization/Desktop/py-behav/SetShiftPR/AddressFiles/SetShiftOn.py
SubjectConfiguration
amps,"[[-316, 316], [0, 0]]"

Trial,Time,Type,Code,State,Metadata
1,2.169981598854065e-05,StateEnterEvent,0,INITIATION,"{}"
2,1.006032600067556,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
3,1.0060401996597648,InfoEvent,1,SJ_RESPONSE,"{'command': 'P', 'id': 0, 'mode': [1, 3], 'period': 7692, 'duration': 4294967295, 'stages': [['50', '-316uA', '0uA'], ['50', '316uA', '0uA']]}"
4,2.014072699472308,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
5,2.014083200134337,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-9140mV', '-308uA', '0mV', '0uA'], ['7112mV', '308uA', '0mV', '0uA']]}"
6,3.020727999508381,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
7,3.0207350002601743,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-9226mV', '-308uA', '0mV', '0uA'], ['7268mV', '308uA', '0mV', '0uA']]}"
8,4.024576500058174,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
9,4.024582600221038,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-9338mV', '-308uA', '0mV', '0uA'], ['7398mV', '308uA', '0mV', '0uA']]}"
10,5.037190900184214,ComponentChangedEvent,9,stim-0-0,"{'value': 'T0'}"
11,5.037203599698842,InfoEvent,1,SJ_RESPONSE,"{'command': 'C', 'id': 0, 'n_pulse': 131, 'stages': [['-9436mV', '-308uA', '0mV', '0uA'], ['7498mV', '308uA', '0mV', '0uA']]}"
12,5.543646099977195,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': True}"
13,5.5436519999057055,StateExitEvent,0,INITIATION,"{'light_location': 0}"
14,5.543666799552739,StateEnterEvent,1,RESPONSE,"{'light_location': 0}"
15,5.649262799881399,ComponentChangedEvent,1,nose_pokes-0-1,"{'value': False}"
16,5.93145199958235,ComponentChangedEvent,0,nose_pokes-0-0,"{'value': True}"
17,5.931459899991751,StateExitEvent,1,RESPONSE,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
18,5.9315042002126575,StateEnterEvent,2,INTER_TRIAL_INTERVAL,"{'rule': 2, 'cur_block': 0, 'rule_index': 0, 'accuracy': 'incorrect'}"
